V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,cond,objective,Q3,Q73,Q11,Q13,Q14,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_time_1,p1_time_2,p1_time_3,p1_time_4,polparty,posoc,dk1_1,dk1_2,poecon,dk2_1,dk2_2,attitude1,attitude2,gender,age_1,puboffice,Q64,pubemploy,authority,comments,LocationLatitude,LocationLongitude,LocationAccuracy,
R_0wANbvh6HrH5E2N,Default Response Set,Anonymous,,,68.152.51.12,0,2014-06-27 07:06:05,2014-06-27 07:10:23,1,1,tax breaks,1,1,1,,1,3,3,3,5,3,3,78.637,105.003,108.574,6,2,2,,,6,,,,4,1,63,9,9,8,9,,32.532897949219,-85.507797241211,-1,
R_3VIe42VzNGjDPRr,Default Response Set,Anonymous,,,70.193.139.25,0,2014-06-27 06:05:59,2014-06-27 07:22:15,1,1,tax breaks,1,1,1,,1,1,4,3,4,3,4,24.947,40.317,41.45,6,1,4,,,6,,,,5,2,43,9,9,8,8,,33.748992919922,-84.388000488281,-1,
R_6Fk0v6302SCC7BP,Default Response Set,Anonymous,,,165.127.8.254,0,2014-06-27 07:21:46,2014-06-27 07:26:08,1,0,food stamps,1,1,1,1,,5,1,5,1,1,3,36.331,60.613,61.917,6,2,3,,,5,,,6,,1,52,9,8,8,8,"no although I think this context applies to a multitude of other public programs which are more complex for the general public to understand. Food stamps is somewhat simple while health information exchange is not as simple and more likely to benefit from the ""passive enrollment"" or default opt in.",39.742797851562,-104.8996963501,-1,
R_bIcKzf6tuluOGZn,Default Response Set,Anonymous,,,66.89.163.150,0,2014-06-27 07:28:27,2014-06-27 07:29:50,1,0,food stamps,1,1,1,1,,,,,,,,0,0,13.003,0,,,,,,,,,,,,,,,,,32.972198486328,-96.737602233887,-1,
R_2nndV30JVHJZmLP,Default Response Set,Anonymous,,,98.177.229.221,0,2014-06-27 07:27:23,2014-06-27 07:30:34,1,1,tax breaks,1,1,1,,1,3,3,4,2,2,2,53.369,78.309,81.127,6,3,3,,,4,,,,3,1,45,9,8,8,8,,33.24870300293,-111.63430023193,-1,
R_a4cZAgS6ybastk9,Default Response Set,Anonymous,,,165.127.77.148,0,2014-06-27 07:31:16,2014-06-27 07:35:32,1,1,tax breaks,1,1,1,,1,4,2,3,5,3,5,88.373,115.62100000000001,116.75,6,3,3,,,3,,,,1,1,37,9,9,8,8,I found it difficult to put aside the tax-break example to answer the questions about implementing public policy.,39.72900390625,-104.95279693604,-1,
R_e2JtRpAkQ6iXBpb,Default Response Set,Anonymous,,,198.28.13.94,0,2014-06-27 07:49:21,2014-06-27 07:51:38,1,0,food stamps,1,1,1,1,,1,4,1,5,1,5,50.17,72.447,73.29,6,1,4,,,5,,,4,,1,42,9,9,8,9,,41.764694213867,-88.295700073242,-1,
R_7TGWHmU73iDFboh,Default Response Set,Anonymous,,,69.146.43.227,0,2014-06-27 07:54:42,2014-06-27 08:03:04,1,1,tax breaks,1,1,1,,1,3,3,2,4,4,5,101.783,157.894,158.856,6,2,3,,,,,,,1,1,39,8,9,8,8,"in the first example of tax breaks for high-income individuals, I am opposed and not in favor in general of the proposed practice, but see how it could be used in other applications where I may be more supportive, such as enrolling youth in public/military service in the way that was described. ",39.218505859375,-106.36090087891,-1,
R_bplvmDBj5Hle8EB,Default Response Set,Anonymous,,,165.127.41.145,0,2014-06-27 08:14:49,2014-06-27 08:19:08,1,0,food stamps,1,1,1,1,,2,3,4,3,2,4,80.509,106.504,107.826,6,2,2,,,6,,,3,,2,43,9,8,8,8,,39.738800048828,-104.40830230713,-1,
R_0eay6SV8GrMaPvn,Default Response Set,Anonymous,,,70.195.140.191,0,2014-06-27 08:17:25,2014-06-27 08:19:12,1,1,tax breaks,1,1,1,,1,1,5,1,5,3,5,29.992,48.92400000000001,49.748,6,1,4,,,7,,,,7,1,40,8,9,8,8,,42.88639831543,-78.878402709961,-1,
R_9ojyrt9FhRQM4hD,Default Response Set,Anonymous,,,199.189.197.130,0,2014-06-27 08:00:44,2014-06-27 08:23:26,1,0,food stamps,1,1,1,1,,1,3,2,3,3,3,87.718,112.647,113.833,6,2,1,,,4,,,6,,2,55,9,8,8,8,No,25.60319519043,-80.334701538086,-1,
R_byGQXpkHZcClv7f,Default Response Set,Anonymous,,,198.199.140.227,0,2014-06-27 08:22:07,2014-06-27 08:25:22,1,1,tax breaks,1,1,1,,1,4,1,4,1,1,1,65.145,93.67899999999999,95.685,6,3,1,,,6,,,,7,1,40,9,9,8,8,,37.548294067383,-121.98860168457,-1,
R_391Y5qFN0lCjrxz,Default Response Set,Anonymous,,,24.106.223.2,0,2014-06-27 08:34:36,2014-06-27 08:39:14,1,0,food stamps,1,1,1,1,,1,5,1,5,5,5,122.042,141.964,146.147,6,3,6,,,7,,,4,,1,,9,8,8,8,,34.753997802734,-77.430198669434,-1,
R_3xzcfYLPs0NlAfr,Default Response Set,Anonymous,,,70.165.47.66,0,2014-06-27 08:36:26,2014-06-27 08:40:39,1,1,tax breaks,1,1,1,,1,2,3,2,5,3,5,89.303,130.675,141.105,8,1,4,,,6,,,,4,1,55,9,8,8,8,,33.619903564453,-117.61190032959,-1,
R_6JOpd4eC47auTLD,Default Response Set,Anonymous,,,192.209.53.21,0,2014-06-27 12:02:32,2014-06-27 12:05:09,1,0,food stamps,1,1,1,1,,4,2,5,3,1,2,42.901,69.00399999999999,70.569,6,3,4,,,5,,,6,,2,58,9,8,8,8,,46.978103637695,-122.70240020752,-1,
R_ddudfnQxqPo1nrT,Default Response Set,Anonymous,,,206.212.164.12,0,2014-06-27 13:15:25,2014-06-27 13:19:59,1,0,food stamps,1,1,1,1,,1,5,3,4,3,5,105.845,149.74699999999996,150.384,8,1,5,,,4,,,3,,1,43,9,9,8,9,No comments at this time.,40.664001464844,-74.21070098877,-1,
R_0CIO3Y8IViZUawZ,Default Response Set,Anonymous,,,204.114.52.15,0,2014-06-27 15:20:30,2014-06-27 15:28:21,1,0,food stamps,1,1,1,1,,2,4,3,4,3,3,308.503,335.17499999999995,344.785,7,2,3,,,5,,,6,,1,51,8,8,8,8,,37.54020690918,-122.30410003662,-1,
R_cumGiH6xUdWvxd3,Default Response Set,Anonymous,,,108.251.18.153,0,2014-06-27 16:15:35,2014-06-27 16:19:30,1,1,tax breaks,1,1,1,,1,3,3,2,4,4,4,55.182,66.762,69.072,6,2,3,,,4,,,,3,2,52,9,8,8,8,,38.243301391602,-122.46020507812,-1,
R_egqOm27peOpYo9T,Default Response Set,Anonymous,,,75.173.245.218,0,2014-06-27 17:48:00,2014-06-27 17:51:07,1,0,food stamps,1,1,1,1,,3,3,4,4,2,4,39.847,91.55800000000002,95.855,8,2,2,,,2,,,7,,2,39,8,8,8,8,,38.833892822266,-104.82140350342,-1,
R_4Z3IDS9onsZlsP3,Default Response Set,Anonymous,,,107.203.127.80,0,2014-06-27 19:42:24,2014-06-27 19:49:45,1,1,tax breaks,1,1,1,,1,,,,,,,0,0,215.493,0,2,3,,,2,,,,4,2,45,9,9,9,9,,32.239807128906,-90.266098022461,-1,
R_ddleJFduM0hN7HD,Default Response Set,Anonymous,,,199.189.150.2,0,2014-06-28 04:32:00,2014-06-28 04:34:23,1,0,food stamps,1,1,1,1,,2,2,3,4,3,4,53.544,81.601,83.617,7,3,2,,,3,,,2,,1,45,9,9,8,9,,37.664993286133,-76.414703369141,-1,
R_86qmTOtY3kAQq7X,Default Response Set,Anonymous,,,64.134.220.42,0,2014-06-28 07:12:57,2014-06-28 07:16:01,1,1,tax breaks,1,1,1,,1,4,1,4,5,1,2,63.071,91.586,92.826,6,2,2,,,6,,,,1,1,46,9,8,9,9,,34.052200317383,-118.24369812012,-1,
R_bHqxYKqfP7tkMVn,Default Response Set,Anonymous,,,96.35.118.183,0,2014-06-28 09:28:56,2014-06-28 09:34:01,1,0,food stamps,1,1,1,1,,2,4,2,5,4,5,47.795,61.813,62.885,6,1,6,,,6,,,5,,1,53,8,8,9,8,The background and questions give no details concerning quality control measures taken regarding the source data.  ,42.458099365234,-83.946800231934,-1,
R_9Rhwq25AMdXOAxD,Default Response Set,Anonymous,,,108.22.226.78,0,2014-06-28 13:14:38,2014-06-28 13:20:50,1,0,food stamps,1,1,1,1,,5,1,5,1,1,1,52.494,240.56500000000003,271.322,7,2,1,,,1,,,7,,2,40,9,9,9,9,,39.33740234375,-76.536796569824,-1,
R_bvio2vs2iZZuAbX,Default Response Set,Anonymous,,,108.87.136.32,0,2014-06-28 17:57:04,2014-06-28 18:00:44,1,1,tax breaks,1,1,1,,1,2,4,3,5,3,3,61.988,90.828,93.19,6,2,3,,,3,,,,2,2,50,8,8,8,8,,35.88639831543,-90.642501831055,-1,
R_2avarzEkVs9Gvjv,Default Response Set,Anonymous,,,72.76.3.19,0,2014-06-28 21:12:03,2014-06-28 21:12:51,1,0,food stamps,1,1,1,1,,,,,,,,0,0,9.412,0,,,,,,,,,,,,,,,,,40.767303466797,-74.204902648926,-1,
R_0I2ertfGu0veBzD,Default Response Set,Anonymous,,,70.89.163.76,0,2014-06-29 20:23:18,2014-06-29 20:31:25,1,1,tax breaks,1,1,1,,1,4,2,3,3,3,4,74.974,111.036,127.999,6,2,2,,,4,,,,4,1,52,8,8,8,8,The survey asks about the ethics of automatic enrollment. Seems that the ethics would depend almost completely upon the particulars of the program.,39.467803955078,-105.99620056152,-1,
R_eRt3IrdlyjyXVL7,Default Response Set,Anonymous,,,108.240.34.38,0,2014-06-29 20:52:02,2014-06-30 05:41:40,1,0,food stamps,1,1,1,1,,4,2,4,4,2,4,506.691,31612.744000000002,31617.202,7,2,3,,,5,,,6,,1,39,8,9,8,8,,34.746505737305,-92.289596557617,-1,
R_6G4p90dsXM1fydL,Default Response Set,Anonymous,,,71.248.176.106,0,2014-06-27 07:31:04,2014-06-30 06:12:18,1,0,food stamps,1,1,1,1,,1,5,2,4,4,4,254317.093,254344.291,254354.433,7,3,4,,,4,,,4,,1,54,9,8,8,8,,42.533493041992,-71.10359954834,-1,
R_0VgmeXDyRRR37Kt,Default Response Set,Anonymous,,,65.130.212.77,0,2014-06-30 07:32:00,2014-06-30 07:38:17,1,1,tax breaks,1,1,1,,1,4,2,4,3,3,4,121.779,173.468,175.547,6,1,6,,,6,,,,2,1,42,9,8,8,9,,40.760803222656,-111.89109802246,-1,
R_5yCPAtpNpelej09,Default Response Set,Anonymous,,,209.215.118.130,0,2014-06-30 07:57:49,2014-06-30 08:03:33,1,0,food stamps,1,1,1,1,,1,5,2,5,4,2,59.542,132.126,145.218,8,3,4,,,4,,,5,,1,54,9,8,8,8,,32.776596069336,-79.93090057373,-1,
R_egjtyE6HmDq9GJL,Default Response Set,Anonymous,,,198.252.245.194,0,2014-06-30 08:10:22,2014-06-30 08:12:57,1,1,tax breaks,1,1,1,,1,2,4,4,5,2,5,47.924,90.62299999999999,92.042,8,1,3,,,6,,,,6,1,44,9,9,8,8,,36.852905273438,-75.977996826172,-1,
R_1LbMqgQxuqxtmAZ,Default Response Set,Anonymous,,,72.240.39.190,0,2014-06-30 08:36:45,2014-06-30 08:40:07,1,1,tax breaks,1,1,1,,1,3,1,5,5,3,5,76.516,109.74700000000001,111.117,8,2,2,,,6,,,,5,1,44,8,8,8,8,,41.703506469727,-83.605201721191,-1,
R_3K7FaWhOPNorS0l,Default Response Set,Anonymous,,,38.95.224.253,0,2014-06-30 09:49:41,2014-06-30 09:52:57,1,1,tax breaks,1,1,1,,1,3,2,4,2,4,3,64.928,89.77899999999998,92.462,7,2,6,,,7,,,,6,1,51,9,9,8,8,None at this time.,34.016006469727,-118.49250030518,-1,
R_dbxJOQvIQEhSjLD,Default Response Set,Anonymous,,,74.87.214.102,0,2014-06-30 09:56:08,2014-06-30 09:59:51,1,1,tax breaks,1,1,1,,1,2,4,1,4,5,5,60.795,94.67600000000001,98.701,7,3,3,,,5,,,,5,1,47,9,8,8,8,,32.68879699707,-114.66570281982,-1,
R_3PGSaqiOo98nN3f,Default Response Set,Anonymous,,,63.66.64.244,0,2014-06-30 12:16:46,2014-06-30 12:22:42,1,1,tax breaks,1,1,1,,1,5,5,3,5,3,5,200.09,220.211,223.757,6,3,7,,,5,,,,5,1,40,9,9,8,8,This deals with broad general questions.  My answers could change depending on more facts and more specific questions.,40.273696899414,-76.884399414062,-1,
R_0rM0inTrWdAqhxz,Default Response Set,Anonymous,,,209.118.94.38,0,2014-06-30 13:32:02,2014-06-30 13:33:34,1,0,food stamps,1,1,1,1,,1,5,5,3,1,1,30.42,42.004,42.895,6,1,3,,,5,,,4,,1,58,9,8,8,8,,39.739196777344,-104.98470306396,-1,
R_5mpIoFEzZKNuFCZ,Default Response Set,Anonymous,,,24.209.65.180,0,2014-06-30 14:34:35,2014-06-30 14:37:48,1,1,tax breaks,1,1,1,,1,5,2,4,4,1,4,79.583,90.76499999999999,92.216,6,2,1,,,3,,,,2,1,34,8,9,8,8,,39.127105712891,-84.513702392578,-1,
R_eKdAFpjrdU8KlcF,Default Response Set,Anonymous,,,204.62.20.194,0,2014-06-30 18:46:35,2014-06-30 18:50:15,1,0,food stamps,1,1,1,1,,4,2,3,5,2,5,34.332,148.99,149.858,7,2,2,,,5,,,6,,1,49,9,8,8,8,,35.46760559082,-97.516403198242,-1,
R_0pvBGFJElBQeiix,Default Response Set,Anonymous,,,71.80.55.112,0,2014-06-30 19:16:21,2014-06-30 19:25:35,1,1,tax breaks,1,1,1,,1,3,2,2,4,3,3,419.712,439.50399999999996,446.699,6,1,4,,,6,,,,1,1,43,9,9,8,8,,36.389694213867,-75.834701538086,-1,
R_cwKQhDcWBmL8gjH,Default Response Set,Anonymous,,,99.118.18.56,0,2014-06-30 21:18:20,2014-06-30 21:20:57,1,1,tax breaks,1,1,1,,1,2,4,3,5,3,4,60.164,80.139,81.51,6,2,3,,,6,,,,6,1,41,8,8,8,8,,38.494995117188,-121.53050231934,-1,
R_29pPbnudKPqBB6l,Default Response Set,Anonymous,,,68.231.159.115,0,2014-07-01 07:30:09,2014-07-01 07:32:50,1,0,food stamps,1,1,1,1,,1,5,3,4,3,4,66.549,83.25300000000001,84.342,6,1,5,,,5,,,4,,2,37,8,8,8,8,,33.38459777832,-112.55169677734,-1,
R_7PpGBYF4GnzQQdf,Default Response Set,Anonymous,,,70.91.128.97,0,2014-07-01 09:14:48,2014-07-01 09:18:17,1,1,tax breaks,1,1,1,,1,1,5,1,5,5,4,69.247,91.40700000000002,92.337,6,3,5,,,5,,,,2,1,51,9,8,8,8,,42.367797851562,-70.96900177002,-1,
R_cIophZPuOi51Zfn,Default Response Set,Anonymous,,,173.167.105.233,0,2014-07-01 10:25:53,2014-07-01 10:34:42,1,0,food stamps,1,1,1,1,,2,3,5,5,1,4,205.665,241.33399999999997,242.211,8,2,1,,,2,,,7,,1,42,8,8,8,8,"May want to have a way to have a unique sign on so that if you check out and back in, you get the same questions. I quit after reading the first question the first time, realizing I didn't have time to finish the test.  I got the help rich people question the first time and the help poor people question the second time (though I was already thinking about that, so it didn't really change my response).",37.339401245117,-121.89500427246,-1,
R_9t0loonlQsV7A1f,Default Response Set,Anonymous,,,72.12.197.66,0,2014-07-01 10:48:08,2014-07-01 10:51:18,1,1,tax breaks,1,1,1,,1,2,4,2,4,4,5,61.811,83.779,89.157,6,1,4,,,5,,,,5,1,47,9,9,8,8,,40.417694091797,-86.887496948242,-1,
R_0rd5qYtEXvQ58BD,Default Response Set,Anonymous,,,164.82.32.13,0,2014-07-01 14:57:11,2014-07-01 15:01:38,1,0,food stamps,1,1,1,1,,3,2,3,1,3,3,61.485,160.343,161.249,7,2,3,,,4,,,6,,1,36,9,8,8,9,,38.892700195312,-76.943000793457,-1,
R_6GaS93DqZ2gIo0R,Default Response Set,Anonymous,,,108.9.57.71,0,2014-07-01 19:34:56,2014-07-01 19:37:49,1,1,tax breaks,1,1,1,,1,5,1,5,2,5,2,73.216,108.065,109.881,9,2,2,,,4,,,,3,2,44,8,9,9,8,,27.815200805664,-82.625503540039,-1,
R_5tDHtIRqCRiH0vb,Default Response Set,Anonymous,,,137.191.242.34,0,2014-07-02 03:10:35,2014-07-02 03:16:18,1,0,food stamps,1,1,1,1,,5,1,5,3,1,3,35.241,142.69799999999998,145.073,6,2,1,,,1,,,7,,1,56,9,8,8,8,,54.949996948242,-7.7333068847656,-1,
R_eg7RzBvDVCEPfBr,Default Response Set,Anonymous,,,173.166.72.218,0,2014-07-03 07:21:58,2014-07-03 07:25:23,1,0,food stamps,1,1,1,1,,3,4,2,4,3,4,1.27,133.426,135.05,8,1,2,,,4,,,7,,2,50,8,8,9,8,,43.175598144531,-71.410400390625,-1,
R_egkrdyyiS18xTPD,Default Response Set,Anonymous,,,216.226.180.1,0,2014-07-03 12:15:19,2014-07-03 12:18:30,1,1,tax breaks,1,1,1,,1,3,3,3,3,3,3,71.075,87.206,88.641,6,2,4,,,4,,,,2,2,49,9,9,9,9,,32.366806030273,-86.300003051758,-1,
R_6nFe5Ju6joDcb53,Default Response Set,Anonymous,,,66.89.163.150,0,2014-07-03 14:48:16,2014-07-03 14:50:45,1,0,food stamps,1,1,1,1,,5,1,5,1,1,1,7.569,25.609999999999996,30.874,6,2,2,,,5,,,7,,1,45,8,8,8,8,,32.972198486328,-96.737602233887,-1,
R_5pcBz4Fag7vHkpv,Default Response Set,Anonymous,,,108.6.39.246,0,2014-07-03 18:15:43,2014-07-03 18:21:54,1,0,food stamps,1,1,1,1,,1,5,2,5,4,4,121.713,210.838,212.726,8,1,6,,,6,,,6,,1,48,9,9,8,8,,40.574905395508,-73.844596862793,-1,
R_bshJR3Phao2BMPz,Default Response Set,Anonymous,,,198.228.200.17,0,2014-07-04 05:05:00,2014-07-04 05:09:21,1,1,tax breaks,1,1,1,,1,3,4,3,4,3,3,73.63,133.159,135.368,6,2,2,,,3,,,,2,1,38,9,8,8,8,,40.650100708008,-73.949600219727,-1,
R_3fpTRsVSuAouC0d,Default Response Set,Anonymous,,,96.239.132.233,0,2014-06-27 05:46:46,2014-06-27 05:47:01,0,0,food stamps,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_ePb37Ubs9ukdwGN,Default Response Set,Anonymous,,,70.215.1.30,0,2014-06-27 05:46:15,2014-06-27 05:46:48,0,1,tax breaks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_eDvStrOaVSmS341,Default Response Set,Anonymous,,,70.211.69.148,0,2014-06-27 05:50:41,2014-06-27 05:50:58,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3qJEU94xurSTXNz,Default Response Set,Anonymous,,,201.153.124.113,0,2014-06-27 06:17:03,2014-06-27 06:17:45,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_agb8tV801wUCvWt,Default Response Set,Anonymous,,,165.127.41.148,0,2014-06-27 06:44:05,2014-06-27 06:44:12,0,1,tax breaks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_eJd5pMa6pzjTbvL,Default Response Set,Anonymous,,,99.51.73.52,0,2014-06-27 07:21:53,2014-06-27 07:27:03,0,1,tax breaks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_bBE1SNww8ULr6ND,Default Response Set,Anonymous,,,75.173.245.218,0,2014-06-27 07:35:42,2014-06-27 07:36:05,0,1,tax breaks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_74h2QVhqiZL9FFr,Default Response Set,Anonymous,,,137.191.242.34,0,2014-06-27 09:32:14,2014-06-27 09:32:39,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_bIuqLKKHAesRGQt,Default Response Set,Anonymous,,,41.13.56.185,0,2014-06-27 12:56:23,2014-06-27 12:58:15,0,1,tax breaks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_39SYZv8rgLYc0xT,Default Response Set,Anonymous,,,206.212.164.12,0,2014-06-27 13:14:31,2014-06-27 13:15:07,0,1,tax breaks,1,1,1,,1,,,,,,,0,0,26.17,0,,,,,,,,,,,,,,,,,,,-1,
R_7WhTGOF3nLcd8KV,Default Response Set,Anonymous,,,204.114.52.15,0,2014-06-27 15:20:52,2014-06-27 15:21:07,0,1,tax breaks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1YS4oSCNxExtPuZ,Default Response Set,Anonymous,,,107.198.6.110,0,2014-06-27 15:58:51,2014-06-27 15:59:09,0,1,tax breaks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_7UJtQsvqB1irgHz,Default Response Set,Anonymous,,,38.111.11.2,0,2014-07-04 17:42:43,2014-07-04 17:44:26,1,1,tax breaks,1,1,1,,1,5,1,4,3,1,4,28.449,49.330000000000005,51.281,6,2,1,,,4,,,,2,1,34,8,9,8,8,,42.3583984375,-71.059799194336,-1,
R_cOYyCiG0DHHSKWh,Default Response Set,Anonymous,,,107.203.127.80,0,2014-06-27 19:40:47,2014-06-27 19:40:55,0,1,tax breaks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3ZNZnWADPFxTpGJ,Default Response Set,Anonymous,,,81.22.160.222,0,2014-07-05 05:55:06,2014-07-05 06:07:53,1,0,food stamps,1,1,1,1,,4,2,4,4,2,3,277.448,357.138,358.787,6,3,3,,,3,,,4,,1,50,8,8,8,8,,60.175598144531,24.934204101562,-1,
R_bgvsqIQ7Lev8wmN,Default Response Set,Anonymous,,,64.222.87.20,0,2014-06-28 18:46:48,2014-06-28 18:47:04,0,1,tax breaks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3K04i1OL6QrPeL3,Default Response Set,Anonymous,,,86.45.165.113,0,2014-06-29 03:15:12,2014-06-29 03:15:47,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_bp9qZvVqXEmwFuJ,Default Response Set,Anonymous,,,64.134.245.174,0,2014-07-06 11:07:09,2014-07-06 11:10:49,1,1,tax breaks,1,1,1,,1,4,2,3,4,3,3,61.994,70.12499999999999,71.741,8,2,1,,,3,,,,3,1,37,8,8,8,8,,38,-97,-1,
R_eKGAs5RScJ2fcB7,Default Response Set,Anonymous,,,192.119.227.253,0,2014-06-30 09:00:50,2014-06-30 09:01:00,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_4TxR1eWlpdCj94N,Default Response Set,Anonymous,,,66.89.163.150,0,2014-06-30 15:03:11,2014-06-30 15:03:38,0,0,food stamps,1,1,1,1,,,,,,,,0,0,8.223,0,,,,,,,,,,,,,,,,,,,-1,
R_9sN5KnpipJULkC9,Default Response Set,Anonymous,,,66.89.163.150,0,2014-06-30 15:03:52,2014-06-30 15:06:00,0,1,tax breaks,1,1,1,,1,,,,,,,0,0,23.04,0,,,,,,,,,,,,,,,,,,,-1,
R_cI7ViAmqSws5dRj,Default Response Set,Anonymous,,,167.102.133.216,0,2014-06-30 15:21:55,2014-06-30 15:22:08,0,1,tax breaks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_5p3nP3jkiQOMaXz,Default Response Set,Anonymous,,,209.149.216.2,0,2014-07-01 11:59:55,2014-07-01 12:00:28,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_6u6PRrqllzmORtH,Default Response Set,Anonymous,,,80.62.117.137,0,2014-07-02 01:15:41,2014-07-02 01:16:46,0,1,tax breaks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_br7gaNweOiIWPSB,Default Response Set,Anonymous,,,137.191.242.34,0,2014-07-02 02:20:29,2014-07-02 02:21:58,0,0,food stamps,1,1,1,1,,,,,,,,0,0,58.985,0,,,,,,,,,,,,,,,,,,,-1,
R_bkJjYzu14iwW3E9,Default Response Set,Anonymous,,,137.191.242.34,0,2014-07-02 02:22:10,2014-07-02 02:22:18,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_cN52q7X2m8NOqQR,Default Response Set,Anonymous,,,137.191.242.34,0,2014-07-02 03:04:50,2014-07-02 03:05:11,0,1,tax breaks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_5jnVap8YnYEmN5H,Default Response Set,Anonymous,,,64.134.240.238,0,2014-07-09 19:57:44,2014-07-09 19:59:19,1,1,tax breaks,1,1,1,,1,,,,,,,0,0,44.391,0,,,,,,,,,,,,,,,,,38,-97,-1,
