V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,default,implementation,commitment,loss_aversion,social_norms,counter1,counter2,default_trial,implementation_trial,commitment_trial,loss_aversion_trial,social_norms_trial,Q3,Q56,Q11,Q12,Q13,Q14,Q15,Q17,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_time_1,p1_time_2,p1_time_3,p1_time_4,Q206,Q207,Q208,Q209,Q210,Q211,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_time_1,p2_time_2,p2_time_3,p2_time_4,Q227,Q228,Q229,Q230,Q231,Q232,p3_1,p3_2,p3_3,p3_4,p3_5,p3_6,p3_time_1,p3_time_2,p3_time_3,p3_time_4,Q213,Q214,Q215,Q216,Q217,Q218,p4_1,p4_2,p4_3,p4_4,p4_5,p4_6,p4_time_1,p4_time_2,p4_time_3,p4_time_4,Q220,Q221,Q222,Q223,Q224,Q225,p5_1,p5_2,p5_3,p5_4,p5_5,p5_6,p5_time_1,p5_time_2,p5_time_3,p5_time_4,Q70,polparty,posoc,dk1_1,dk1_2,poecon,dk2_1,dk2_2,attitude1,attitude2,attitude3,attitude4,libert_1,libert_2,libert_3,libert_4,libert_5,libert_6,gender,age_1,comments,LocationLatitude,LocationLongitude,LocationAccuracy,
R_8rct21U2cVVETpr,Default Response Set,Anonymous,,,67.163.2.113,0,2014-05-17 09:14:35,2014-05-17 09:20:24,1,intelligent design,control,food stamps,tax breaks,safe sex,6,6,5,3,2,1,4,1,1,1,,,,,1,4,2,3,4,2,2,21.128,30.604000000000002,31.95,6,1,1,,,,,2,4,2,4,2,2,31.178,39.122,41.267,6,1,,1,,,,1,5,2,4,4,4,21.548,31.860999999999997,33.325,6,1,,,1,,,2,4,3,4,2,2,36.273,46.351000000000006,47.416,6,1,,,,1,,4,2,4,4,2,4,32.14,41.765,43.301,6,1,1,3,,,6,,,5,4,6,3,7,5,5,7,1,1,1,31,,39.872497558594,-86.382598876953,-1,
R_ekTmFMG2M1rhdJj,Default Response Set,Anonymous,,,107.198.145.81,0,2014-05-17 09:16:15,2014-05-17 09:20:31,1,safe sex,intelligent design,control,food stamps,tax breaks,6,6,4,2,3,1,5,1,1,1,,,,1,,3,3,2,5,3,3,24.587,37.281,37.914,10,1,,,,,1,3,4,2,4,3,4,37.302,45.508,47.695,7,1,1,,,,,4,1,3,4,3,4,20.546,30.346999999999994,30.856,8,1,,1,,,,4,2,2,4,3,5,27.786,38.812,39.389,7,1,,,1,,,4,2,3,4,3,4,18.481,26.235,26.796,10,1,3,3,,,5,,,6,3,7,1,4,5,3,4,2,1,1,28,,39.760406494141,-119.8643951416,-1,
R_9vpuueWTni7EqLX,Default Response Set,Anonymous,,,70.178.195.56,0,2014-05-17 09:12:42,2014-05-17 09:21:05,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,3,2,4,1,5,1,1,1,,1,,,,1,4,3,5,3,5,55.628,71.336,74.11,6,1,1,,,,,4,1,4,2,2,2,43.425,57.391,61.713,6,1,,,1,,,3,2,3,3,2,3,33.612,48.488,51.137,7,1,,,,1,,3,2,3,5,3,3,58.438,88.715,90.661,6,1,,,,,1,3,2,4,3,3,4,46.84,61.483000000000004,63.027,6,1,2,2,,,3,,,7,3,7,4,4,5,5,4,3,2,2,46,I do not have any questions or comments. ,35.483001708984,-94.346900939941,-1,
R_bkicJzVgJazkqGh,Default Response Set,Anonymous,,,173.218.78.80,0,2014-05-17 09:08:26,2014-05-17 09:21:11,1,tax breaks,safe sex,control,intelligent design,food stamps,6,6,5,1,3,4,2,1,1,1,,,1,,,4,2,3,4,2,3,9.61,72.594,73.837,7,1,,,,1,,2,4,3,5,3,5,30.163,129.72599999999997,130.472,9,1,1,,,,,2,3,4,3,2,3,4.962,69.26299999999999,70.237,7,1,,,,,1,2,2,3,3,2,3,8.032,168.84199999999996,169.925,13,1,,1,,,,3,3,3,2,2,4,76.728,109.19099999999999,110.187,10,1,3,3,,,3,,,5,3,5,4,5,4,4,6,2,1,2,43,,37.027099609375,-93.319297790527,-1,
R_ddjqiyXukbtOiJD,Default Response Set,Anonymous,,,71.204.254.212,0,2014-05-17 09:13:28,2014-05-17 09:21:13,1,tax breaks,food stamps,control,safe sex,intelligent design,6,6,5,2,1,4,3,1,1,1,,,1,,,3,3,5,1,1,1,10.325,26.216,33.469,6,1,,1,,,,5,1,4,2,2,2,56.265,79.244,80.507,7,1,1,,,,,4,2,4,4,2,3,43.459,76.065,76.935,9,1,,,,1,,5,1,5,1,1,1,23.118,31.302,32.097,6,1,,,,,1,3,3,5,3,1,3,47.826,72.021,73.224,6,1,3,4,,,4,,,6,1,7,4,5,5,6,6,1,1,1,24,,32.704895019531,-80.271598815918,-1,
R_0id5LcdXO5VNsGN,Default Response Set,Anonymous,,,69.248.166.39,0,2014-05-17 09:19:17,2014-05-17 09:21:23,1,safe sex,control,food stamps,tax breaks,intelligent design,6,6,2,1,4,3,5,1,1,1,,,,1,,2,2,1,3,4,4,3.831,6.767,8.065,6,1,1,,,,,2,3,2,2,4,4,8.661,11.243999999999998,13.534,6,1,,1,,,,1,1,2,2,3,5,4.643,7.025999999999999,8.547,6,1,,,1,,,4,4,3,2,2,3,6.336,8.351,9.392,6,1,,,,,1,4,3,3,2,3,1,1.978,4.625,5.484,6,1,3,1,,,1,,,6,1,3,1,7,2,7,7,1,1,1,34,none,39.619293212891,-75.031799316406,-1,
R_40e0wiMyeK2inv7,Default Response Set,Anonymous,,,69.141.123.211,0,2014-05-17 09:18:27,2014-05-17 09:21:43,1,control,tax breaks,intelligent design,food stamps,safe sex,6,6,1,5,4,3,2,1,1,1,1,,,,,3,3,3,3,3,3,9.181,12.460999999999999,13.166,10,1,,,1,,,5,1,3,3,3,3,18.041,22.712999999999997,23.412,6,1,,,,,1,3,3,3,3,3,3,13.163,15.195000000000002,15.869,6,1,,1,,,,5,1,5,3,2,1,23.751,31.230000000000004,32.224,7,1,,,,1,,5,1,5,1,1,3,21.381,30.845000000000002,31.968,6,1,3,1,,,4,,,7,1,7,4,7,1,7,7,4,1,2,26,,39.901702880859,-74.182197570801,-1,
R_aWOTCMbvA6fh7sF,Default Response Set,Anonymous,,,71.185.147.185,0,2014-05-17 09:13:34,2014-05-17 09:21:46,1,control,food stamps,tax breaks,intelligent design,safe sex,6,6,4,3,1,5,2,1,1,1,1,,,,,4,2,3,5,2,4,0,0,36.584,0,1,,1,,,,4,2,3,4,3,4,0,0,33.787,0,1,,,1,,,4,2,3,5,3,2,8.617,73.041,120.272,4,1,,,,,1,3,3,3,5,3,3,0,0,57.923,0,1,,,,1,,2,4,2,5,4,3,33.253,33.965,86.987,2,1,3,3,,,2,,,7,1,6,1,5,6,5,5,2,2,1,29,,39.746002197266,-75.546600341797,-1,
R_3Fet0DaPuthcwvz,Default Response Set,Anonymous,,,74.76.123.6,0,2014-05-17 09:20:26,2014-05-17 09:21:54,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,3,1,4,5,2,1,1,1,,1,,,,1,2,1,1,4,3,1.428,4.08,5.153,6,1,1,,,,,2,2,1,4,3,1,1.541,5.259,6.094,6,1,,,1,,,2,2,3,4,4,1,1.244,4.686999999999999,5.822,8,1,,,,1,,2,2,4,3,4,2,1.358,5.072,6.247,7,1,,,,,1,2,3,2,4,4,3,1.478,3.966,4.853,6,1,1,6,,,6,,,4,6,4,2,4,2,2,3,5,4,2,23,,43.053497314453,-73.75170135498,-1,
R_eKYpiWEUSDGs6Il,Default Response Set,Anonymous,,,76.121.97.179,0,2014-05-17 09:15:54,2014-05-17 09:22:40,1,intelligent design,food stamps,tax breaks,safe sex,control,6,6,1,4,5,2,3,1,1,1,,,,,1,4,2,2,5,4,5,50.805,63.092,63.97,6,1,,1,,,,5,1,4,4,2,4,38.122,46.912,47.662,6,1,,,1,,,5,1,5,1,1,1,33.048,45.134,46.748,6,1,,,,1,,5,1,4,4,2,3,39.303,49.948,51.654,6,1,1,,,,,1,5,2,4,4,4,38.674,49.169999999999995,50.127,6,1,2,2,,,5,,,2,1,7,1,3,1,7,3,1,6,1,25,Thank you.,47.684692382812,-122.38479614258,-1,
R_9BSOqZNdCRZu4st,Default Response Set,Anonymous,,,50.40.109.96,0,2014-05-17 09:20:07,2014-05-17 09:23:44,1,tax breaks,food stamps,safe sex,control,intelligent design,6,6,1,2,5,3,4,1,1,1,,,1,,,4,2,3,4,2,3,8.492,16.208000000000002,23.127,6,1,,1,,,,4,2,4,4,2,4,17.189,30.621999999999996,31.241,10,1,,,,1,,2,4,3,4,3,4,14.122,20.472,21.863,6,1,1,,,,,3,3,2,4,2,3,13.216,18.424999999999997,19.697,6,1,,,,,1,4,2,3,3,3,3,17.883,22.923,23.4,7,1,2,2,,,,,1,7,1,7,1,6,2,6,6,2,2,2,29,,40.116394042969,-88.24340057373,-1,
R_e9vR3GjK7sUD8TX,Default Response Set,Anonymous,,,50.163.119.5,0,2014-05-17 09:17:54,2014-05-17 09:23:44,1,tax breaks,food stamps,control,intelligent design,safe sex,6,6,2,3,5,1,4,1,1,1,,,1,,,3,3,4,5,4,4,41.367,52.79,53.764,7,1,,1,,,,5,2,5,2,2,3,1.086,34.638999999999996,36.961,7,1,1,,,,,4,2,4,4,2,3,21.073,30.233999999999998,32.164,6,1,,,,,1,3,3,2,5,2,3,65.67,80.834,81.824,6,1,,,,1,,4,2,4,3,2,4,38.044,46.477,47.228,6,1,2,4,,,4,,,6,2,7,3,4,5,4,4,4,2,2,21,,42.691192626953,-71.161003112793,-1,
R_cU8ReeOy8GNiLKl,Default Response Set,Anonymous,,,71.72.6.192,0,2014-05-17 09:18:31,2014-05-17 09:24:32,1,safe sex,tax breaks,intelligent design,food stamps,control,6,6,3,1,4,2,5,1,1,1,,,,1,,4,1,4,1,1,3,37.936,46.076,47.276,7,1,,,1,,,4,2,3,3,2,3,48.622,61.855,63.367,6,1,,,,,1,4,2,3,2,1,3,31.294,44.221,45.53,7,1,,1,,,,2,4,2,4,4,3,36.387,55.36800000000001,55.723,9,1,1,,,,,3,3,2,5,3,3,32.944,45.28400000000001,47.484,7,1,1,5,,,5,,,5,2,7,5,3,5,5,4,5,4,1,28,,41.023193359375,-81.627998352051,-1,
R_6RN9l2kHJnWI9ZH,Default Response Set,Anonymous,,,173.19.167.224,0,2014-05-17 09:14:00,2014-05-17 09:24:35,1,food stamps,safe sex,tax breaks,control,intelligent design,6,6,1,5,3,2,4,1,1,1,,1,,,,2,4,3,5,3,5,64.734,81.12099999999998,82.289,6,1,,,,1,,4,2,4,2,2,2,56.345,65.013,65.938,6,1,,,1,,,4,2,4,2,2,3,83.174,93.918,95.364,6,1,1,,,,,4,2,3,2,3,2,79.698,88.91199999999998,90.236,6,1,,,,,1,3,3,4,2,3,2,90.641,97.60600000000001,101.183,6,1,2,2,,,,,1,5,1,7,2,7,1,7,7,1,2,2,33,,42.426605224609,-92.358001708984,-1,
R_3aSmJF9t7OM1Tut,Default Response Set,Anonymous,,,67.133.209.85,0,2014-05-17 09:15:49,2014-05-17 09:24:37,1,control,food stamps,safe sex,tax breaks,intelligent design,6,6,5,1,4,2,3,1,1,1,1,,,,,2,4,2,4,5,3,13.91,20.459000000000003,21.028,6,1,,1,,,,2,4,2,2,2,3,4.066,133.685,134.302,15,1,,,,1,,4,3,3,2,3,4,8.916,23.233,23.926,7,1,,,1,,,2,4,2,5,4,3,7.915,59.22799999999999,59.943,15,1,,,,,1,5,1,5,2,1,3,3.293,60.95099999999999,61.599,18,1,3,3,,,4,,,6,3,6,3,5,4,3,7,1,1,1,26,,39.200500488281,-84.574996948242,-1,
R_bxU20bPkBGqg1xj,Default Response Set,Anonymous,,,24.152.245.88,0,2014-05-17 09:19:09,2014-05-17 09:24:52,1,safe sex,tax breaks,control,food stamps,intelligent design,6,6,2,3,5,1,4,1,1,1,,,,1,,5,1,5,1,1,1,20.127,34.479,37.832,8,1,,,1,,,3,3,3,1,1,1,23.958,36.861,38.167,11,1,1,,,,,1,5,1,5,5,5,49.671,61.47599999999999,62.462,6,1,,1,,,,5,1,5,1,1,1,59.464,67.26299999999999,68.513,6,1,,,,,1,3,1,3,1,1,1,29.348,41.22,42.325,8,1,2,2,,,2,,,7,1,7,6,7,4,7,7,1,1,2,67,,41.49169921875,-75.984901428223,-1,
R_cI4DeX8lbXJhdwp,Default Response Set,Anonymous,,,32.218.116.39,0,2014-05-17 09:14:16,2014-05-17 09:25:06,1,safe sex,control,food stamps,intelligent design,tax breaks,6,6,1,4,2,3,5,1,1,1,,,,1,,4,2,4,3,2,3,45.702,62.021,65.048,8,1,1,,,,,5,1,4,2,2,2,17.757,88.06599999999999,89.736,31,1,,1,,,,4,2,5,2,1,3,1.441,87.086,88.64,50,1,,,,,1,3,3,2,5,4,5,1.146,44.211999999999996,45.862,10,1,,,1,,,4,2,4,3,2,5,32.681,235.46900000000002,237.938,23,1,1,4,,,3,,,6,5,6,5,5,4,5,5,2,3,1,21,,38,-97,-1,
R_9TAr2ZOSlWaSpN3,Default Response Set,Anonymous,,,186.77.241.149,0,2014-05-17 09:19:00,2014-05-17 09:25:07,1,food stamps,safe sex,control,tax breaks,intelligent design,6,6,1,3,4,5,2,1,1,1,,1,,,,4,2,3,4,3,2,1.753,52.342999999999996,52.625,50,1,,,,1,,5,2,4,3,2,3,28.332,61.733999999999995,62.234,38,1,1,,,,,5,2,4,3,2,2,2.023,35.955000000000005,36.198,38,1,,,1,,,4,3,3,3,3,2,1.587,38.602000000000004,39.241,38,1,,,,,1,4,3,4,4,2,2,2.276,50.86700000000002,51.582,32,1,3,1,,,4,,,7,2,7,7,7,3,6,5,2,3,1,43,none,11.433303833008,-85.833297729492,-1,
R_3l3bHmmjedj7nmJ,Default Response Set,Anonymous,,,108.252.223.41,0,2014-05-17 09:19:41,2014-05-17 09:25:29,1,food stamps,safe sex,tax breaks,intelligent design,control,6,6,1,2,4,5,3,1,1,1,,1,,,,4,2,4,2,1,4,45.107,57.142,59.127,10,1,,,,1,,4,1,4,2,2,4,37.22,48.32599999999999,49.127,9,1,,,1,,,2,3,2,3,2,3,27.974,36.19799999999999,37.245,7,1,,,,,1,3,2,3,2,1,4,31.344,39.442,40.967,9,1,1,,,,,2,3,3,4,2,2,32.678,42.39999999999999,43.282,7,1,3,5,,,3,,,5,4,5,4,3,5,5,5,3,3,1,25,,27.839294433594,-97.600402832031,-1,
R_eXLtJVkuJYx6iGx,Default Response Set,Anonymous,,,76.31.14.238,0,2014-05-17 09:21:09,2014-05-17 09:25:42,1,safe sex,tax breaks,food stamps,control,intelligent design,6,6,4,3,5,1,2,1,1,1,,,,1,,3,3,3,4,3,4,13.192,25.987000000000002,26.692,10,1,,,1,,,4,2,4,3,2,3,18.968,30.647999999999996,31.43,10,1,,1,,,,3,3,3,3,3,3,4.602,27.541999999999998,28.644,10,1,1,,,,,3,3,2,4,4,4,29.815,40.09199999999999,40.438,7,1,,,,,1,3,3,3,4,3,4,25.953,32.391,34.58,6,1,3,2,,,2,,,4,1,7,1,6,4,4,5,2,3,1,21,,29.98779296875,-95.654998779297,-1,
R_aYw9S3zXP19bHxP,Default Response Set,Anonymous,,,184.167.236.218,0,2014-05-17 09:21:05,2014-05-17 09:26:28,1,intelligent design,control,food stamps,safe sex,tax breaks,6,6,3,5,2,1,4,1,1,1,,,,,1,2,4,2,4,4,5,32.781,41.86899999999999,42.573,6,1,1,,,,,4,2,3,2,1,1,32.697,38.297999999999995,39.106,6,1,,1,,,,4,2,3,2,1,3,24.852,35.955,37.008,6,1,,,,1,,4,2,3,4,2,4,61.485,71.598,73.414,6,1,,,1,,,4,2,3,2,2,2,24.179,30.871999999999996,31.696,6,1,2,5,,,5,,,6,2,5,1,4,5,4,6,3,2,1,30,,38.478302001953,-107.87619781494,-1,
R_byfYIiJ3BaGRz93,Default Response Set,Anonymous,,,24.209.170.47,0,2014-05-17 09:22:03,2014-05-17 09:26:30,1,tax breaks,food stamps,intelligent design,safe sex,control,6,6,2,5,3,1,4,1,1,1,,,1,,,2,1,2,3,2,3,14.832,27.070999999999998,29.265,7,1,,1,,,,2,1,2,2,1,2,21.669,30.012,31.566,7,1,,,,,1,1,3,1,5,3,5,22.056,32.881,34.554,6,1,,,,1,,2,4,3,5,3,4,30.168,48.296,49.536,7,1,1,,,,,2,2,1,3,1,3,24.136,32.791999999999994,34.089,6,1,3,6,,,3,,,5,1,2,4,4,5,4,4,3,2,1,37,no problems,43.115707397461,-87.99340057373,-1,
R_bluQX3nWo3hPwj3,Default Response Set,Anonymous,,,50.168.197.180,0,2014-05-17 09:22:23,2014-05-17 09:26:38,1,intelligent design,food stamps,control,tax breaks,safe sex,6,6,4,1,5,2,3,1,1,1,,,,,1,2,4,2,5,3,3,33.751,40.476,41.487,6,1,,1,,,,4,2,3,4,2,3,42.158,50.48600000000001,51.285,6,1,1,,,,,2,4,3,4,2,4,19.018,24.646000000000004,25.585,7,1,,,1,,,4,2,3,4,2,2,22.994,31.997,33.098,8,1,,,,1,,3,3,4,2,2,2,22.327,34.518,35.156,9,1,2,1,,,1,,,6,1,7,1,3,5,4,4,5,4,2,20,,40.759796142578,-111.86260223389,-1,
R_8csyc0T927Fr6hD,Default Response Set,Anonymous,,,98.18.175.121,0,2014-05-17 09:05:52,2014-05-17 09:26:46,1,control,food stamps,tax breaks,intelligent design,safe sex,6,6,2,1,5,4,3,1,1,1,1,,,,,3,5,1,5,5,5,25.713,43.74,47.38,6,1,,1,,,,1,5,3,5,5,5,867.372,887.3169999999999,888.758,8,1,,,1,,,3,3,3,3,3,3,47.873,53.526,54.736,6,1,,,,,1,3,3,3,3,3,3,18.01,23.800000000000004,25.004,6,1,,,,1,,5,1,5,1,1,1,25.48,32.812,34.165,6,1,1,4,,,4,,,7,3,7,4,4,6,1,4,1,1,2,31,,34.798202514648,-84.908203125,-1,
R_bkI530ktm5IKskZ,Default Response Set,Anonymous,,,75.21.88.181,0,2014-05-17 09:22:26,2014-05-17 09:27:33,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,1,2,4,5,3,1,1,1,1,,,,,2,4,2,,4,3,49.675,90.53,91.792,5,1,,1,,,,2,4,3,3,3,3,29.982,35.181000000000004,36.283,7,1,,,1,,,1,5,3,4,4,4,9.897,20.168,27.998,6,1,,,,1,,1,5,3,3,3,4,23.525,30.38,31.562,6,1,,,,,1,3,3,3,3,3,3,17.298,20.521,21.559,6,1,3,4,,,4,,,4,2,4,4,6,6,7,6,2,2,1,47,no,41.850006103516,-87.650001525879,-1,
R_bmxYHkcF2CogvmB,Default Response Set,Anonymous,,,72.78.204.15,0,2014-05-17 09:15:58,2014-05-17 09:28:04,1,tax breaks,food stamps,safe sex,control,intelligent design,6,6,3,2,5,4,1,1,1,1,,,1,,,3,4,2,5,4,4,116.478,128.85299999999998,129.932,8,1,,1,,,,4,1,5,2,4,2,53.623,129.58499999999998,130.773,6,1,,,,1,,3,2,4,2,2,2,117.009,124.64499999999998,125.716,6,1,1,,,,,4,2,4,3,2,3,54.72,68.053,69.281,8,1,,,,,1,3,1,3,5,2,5,124,136.70800000000003,137.454,9,1,2,1,,,1,,,6,2,6,1,4,3,6,5,2,3,2,28,,39.615493774414,-75.704399108887,-1,
R_2mhHeLfo3MApNKl,Default Response Set,Anonymous,,,67.43.100.210,0,2014-05-17 09:20:24,2014-05-17 09:28:28,1,intelligent design,safe sex,control,food stamps,tax breaks,6,6,5,4,1,3,2,1,1,1,,,,,1,2,2,2,4,2,4,47.222,58.980000000000004,60.184,6,1,,,,1,,4,2,4,2,4,2,23.029,33.545,34.556,6,1,1,,,,,4,2,4,3,2,2,88.126,104.68400000000001,106.125,6,1,,1,,,,4,2,4,2,2,2,31.847,42.12000000000001,42.827,6,1,,,1,,,2,4,3,4,3,4,64.654,80.819,82.715,6,1,2,4,,,4,,,6,3,6,3,7,7,7,7,7,1,2,50,no comments or suggestions.  was an interesting study.,40.283706665039,-79.382102966309,-1,
R_8IfUlZoXZfg5o4B,Default Response Set,Anonymous,,,73.48.254.237,0,2014-05-17 09:23:30,2014-05-17 09:29:21,1,food stamps,tax breaks,control,safe sex,intelligent design,6,6,5,4,2,3,1,1,1,1,,1,,,,3,2,4,3,2,2,38.624,54.51900000000001,54.999,13,1,,,1,,,2,4,2,4,3,4,34.319,45.696,46.411,8,1,1,,,,,4,2,4,1,2,2,39.3,46.751999999999995,47.374,7,1,,,,1,,4,3,4,2,3,3,27.421,44.278999999999996,45.181,10,1,,,,,1,5,1,5,1,1,1,57.52,74.24600000000001,75.102,7,1,2,4,,,3,,,4,2,6,7,5,6,6,6,1,1,1,27,Greaty study!,38.752105712891,-121.28799438477,-1,
R_ac7xttJ5LSV8xIV,Default Response Set,Anonymous,,,76.89.232.156,0,2014-05-17 09:20:12,2014-05-17 09:29:28,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,2,4,3,5,1,1,1,1,,1,,,,1,5,2,5,1,4,39.314,60.107000000000006,64.441,6,1,1,,,,,2,4,2,4,4,4,61.2,76.682,84.918,6,1,,,1,,,4,2,5,3,2,3,55.006,73.414,74.388,6,1,,,,1,,4,2,3,3,2,2,46.132,62.263,63.354,6,1,,,,,1,4,2,4,3,2,4,108.675,127.79899999999999,129.072,6,1,1,5,,,5,,,3,6,5,6,7,2,6,7,2,2,2,44,no,33.665298461914,-117.97180175781,-1,
R_8xiPtuexVmDmYmN,Default Response Set,Anonymous,,,107.9.166.248,0,2014-05-17 09:25:32,2014-05-17 09:31:17,1,food stamps,safe sex,control,tax breaks,intelligent design,6,6,2,1,5,3,4,1,1,1,,1,,,,2,4,2,4,3,2,28.624,45.089999999999996,45.868,7,1,,,,1,,4,2,4,3,2,2,35.339,66.105,70.951,10,1,1,,,,,2,4,2,4,3,4,14.736,30.547,31.395,7,1,,,1,,,4,2,4,2,4,3,23.546,35.913000000000004,36.705,6,1,,,,,1,3,3,2,4,3,4,29.496,47.668,48.506,8,1,3,2,,,5,,,5,6,7,1,5,5,3,3,3,2,1,36,,40.725692749023,-82.522903442383,-1,
R_3E3PKZvYlfU8ucR,Default Response Set,Anonymous,,,174.65.26.254,0,2014-05-17 09:30:27,2014-05-17 09:32:09,1,control,tax breaks,food stamps,safe sex,intelligent design,6,6,2,3,1,4,5,1,1,1,1,,,,,3,3,3,3,3,3,3.432,5.694000000000002,6.287,9,1,,,1,,,3,3,3,3,3,3,1.014,3.183,3.854,8,1,,1,,,,3,3,3,3,3,3,13.884,20.623,21.653,15,1,,,,1,,3,3,3,3,3,3,0.998,4.446,5.382,8,1,,,,,1,3,3,3,3,3,3,1.357,2.9170000000000003,3.541,6,1,2,1,,,1,,,1,1,7,1,3,3,3,3,3,3,1,23,,32.737106323242,-117.08810424805,-1,
R_0eMkoUa9cAXB2M5,Default Response Set,Anonymous,,,107.2.92.178,0,2014-05-17 09:25:04,2014-05-17 09:32:17,1,tax breaks,food stamps,control,safe sex,intelligent design,6,6,3,1,4,2,5,1,1,1,,,1,,,1,5,1,5,5,5,36.147,50.73000000000001,51.616,6,1,,1,,,,4,1,5,2,1,1,54.529,70.85,71.697,8,1,1,,,,,5,1,5,3,1,3,48.862,57.87100000000001,58.685,6,1,,,,1,,2,4,4,4,2,4,44.538,61.448,62.571,6,1,,,,,1,2,4,3,3,3,3,32.025,40.354000000000006,40.898,6,1,3,2,,,5,,,6,1,7,1,6,5,5,6,1,2,2,25,None,44.97590637207,-93.216598510742,-1,
R_e9iBp7MtzhTBQsR,Default Response Set,Anonymous,,,99.232.18.46,0,2014-05-17 09:28:51,2014-05-17 09:32:52,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,3,4,2,5,1,1,1,1,1,,,,,5,1,5,2,2,2,58.471,65.094,66.604,6,1,,1,,,,4,2,4,3,2,3,11.42,21.549,22.477,6,1,,,1,,,2,5,2,5,5,4,11.063,20.215,21.291,6,1,,,,1,,4,3,3,3,3,4,12.113,20.858999999999998,21.722,6,1,,,,,1,4,2,4,3,2,3,18.61,29.512,31.127,7,1,3,3,,,5,,,6,2,5,2,6,2,6,7,6,2,1,30,,43.661895751953,-79.395202636719,-1,
R_bkOcwBqPvnWMwSx,Default Response Set,Anonymous,,,98.28.85.80,0,2014-05-17 09:29:37,2014-05-17 09:35:35,1,safe sex,control,food stamps,tax breaks,intelligent design,6,6,3,1,2,5,4,1,1,1,,,,1,,3,3,3,4,3,4,32.814,41.971,43.907,7,1,1,,,,,2,4,3,5,3,4,33.593,47.52,75.559,9,1,,1,,,,3,3,3,3,3,3,30.032,33.861000000000004,48.069,6,1,,,1,,,3,3,3,4,3,4,32.958,42.044,43.065,6,1,,,,,1,3,3,3,4,3,4,36.9,44.624,46.361,6,1,2,1,,,1,,,7,1,7,1,7,5,7,7,1,1,2,54,no,41.461502075195,-84.553100585938,-1,
R_3xeZqDv8dbPGmFL,Default Response Set,Anonymous,,,198.72.176.110,0,2014-05-17 09:32:13,2014-05-17 09:35:58,1,intelligent design,safe sex,food stamps,control,tax breaks,6,6,2,4,1,5,3,1,1,1,,,,,1,2,3,2,3,3,3,28.707,38.79400000000001,39.889,8,1,,,,1,,3,3,3,3,2,2,14.52,20.880000000000003,23.207,9,1,,1,,,,3,2,3,3,2,2,26.6,31.951,35.454,6,1,1,,,,,3,3,3,3,2,2,14.807,18.983,19.87,6,1,,,1,,,2,4,3,4,3,3,21.062,29.454,30.711,8,1,2,2,,,3,,,6,2,6,1,2,6,3,3,5,4,1,27,,34.052200317383,-118.24369812012,-1,
R_1LXpX1oryTm6QS1,Default Response Set,Anonymous,,,216.16.164.207,0,2014-05-17 09:32:20,2014-05-17 09:36:41,1,intelligent design,tax breaks,food stamps,control,safe sex,6,6,2,1,4,3,5,1,1,1,,,,,1,2,4,2,5,4,3,26.6,49.404999999999994,50.067,9,1,,,1,,,4,2,3,4,2,3,33.501,43.51500000000001,44.384,6,1,,1,,,,3,2,3,4,2,3,16.277,24.506,25.447,6,1,1,,,,,4,2,3,3,2,3,24.952,31.395,32.828,6,1,,,,1,,4,2,4,2,2,3,12.566,20.379000000000005,21.124,6,1,3,3,,,3,,,5,2,6,1,3,5,4,5,3,3,1,28,,33.752700805664,-78.907096862793,-1,
R_8zY8Y2Oup0QgtMx,Default Response Set,Anonymous,,,108.167.104.6,0,2014-05-17 09:31:51,2014-05-17 09:37:11,1,control,safe sex,tax breaks,intelligent design,food stamps,6,6,1,2,3,4,5,1,1,1,1,,,,,3,3,4,2,2,4,61.366,71.82000000000001,73.118,6,1,,,,1,,4,1,5,2,2,3,21.477,30.945,32.178,7,1,,,1,,,2,4,1,4,4,3,24.537,36.012,37.502,10,1,,,,,1,4,1,4,2,2,3,17.409,25.966,27.375,7,1,,1,,,,4,3,3,2,2,3,3.732,11.014,13.563,6,1,2,3,,,3,,,7,4,7,6,4,2,5,5,1,3,1,24,,31.307601928711,-85.880599975586,-1,
R_0NAhv5XtlMQjhqZ,Default Response Set,Anonymous,,,68.229.87.68,0,2014-05-17 09:27:34,2014-05-17 09:37:15,1,food stamps,control,tax breaks,intelligent design,safe sex,6,6,1,4,3,5,2,1,1,1,,1,,,,3,2,3,4,3,4,53.187,91.41099999999999,94.772,7,1,1,,,,,4,2,4,3,2,3,44.167,53.29500000000001,55.488,6,1,,,1,,,4,2,3,4,2,4,101.114,111.738,113.427,6,1,,,,,1,2,3,2,4,3,4,67.579,82.78699999999999,84.676,6,1,,,,1,,4,2,3,3,2,4,50.691,67.85000000000001,69.268,7,1,2,1,,,1,,,6,2,7,4,2,5,4,4,3,3,2,31,no,41.775894165039,-72.521499633789,-1,
